tag,precision,kappa,shape_a,method,bin_kind,bin_hi,bin_lo,n_in_bin,n_success,success_rate,ci_lo,ci_hi,is_upper_bound,merged,n_seeds,n_total
libcxx,double,0.51,0.010000000000000009,SPLIT,log_radius,885.2333896969069,115.41671598770247,500000,497163,0.994326,0.9941139132685646,0.9945323274392989,false,false,5,5000000
libcxx,double,0.51,0.010000000000000009,LOG,log_radius,885.2333896969069,115.41671598770247,500000,499995,0.99999,0.9999766634914576,0.9999967530195033,false,false,5,5000000
libcxx,double,0.75,0.25,SPLIT,target_upper_tail_q,1.0,0.5,2500143,2500143,1.0,0.9999985245337036,1.0,false,false,5,5000000
libcxx,double,0.75,0.25,LOG,target_upper_tail_q,1.0,0.5,2500143,2500143,1.0,0.9999985245337036,1.0,false,false,5,5000000
libcxx,double,0.75,0.25,QF,target_upper_tail_q,1.0,0.5,2500143,2500143,1.0,0.9999985245337036,1.0,false,false,5,5000000
libcxx,double,0.75,0.25,SPLIT,target_upper_tail_q,0.5,0.1,1999766,1999766,1.0,0.9999981553461497,1.0,false,false,5,5000000
libcxx,double,0.75,0.25,LOG,target_upper_tail_q,0.5,0.1,1999766,1999766,1.0,0.9999981553461497,1.0,false,false,5,5000000
libcxx,double,0.75,0.25,QF,target_upper_tail_q,0.5,0.1,1999766,1999766,1.0,0.9999981553461497,1.0,false,false,5,5000000
libcxx,double,0.75,0.25,SPLIT,target_upper_tail_q,0.1,0.01,450166,450166,1.0,0.9999918055465319,1.0,false,false,5,5000000
libcxx,double,0.75,0.25,LOG,target_upper_tail_q,0.1,0.01,450166,450166,1.0,0.9999918055465319,1.0,false,false,5,5000000
libcxx,double,0.75,0.25,QF,target_upper_tail_q,0.1,0.01,450166,450166,1.0,0.9999918055465319,1.0,false,false,5,5000000
libcxx,double,0.75,0.25,SPLIT,target_upper_tail_q,0.01,0.001,44856,44856,1.0,0.9999177651200563,1.0,false,false,5,5000000
libcxx,double,0.75,0.25,LOG,target_upper_tail_q,0.01,0.001,44856,44856,1.0,0.9999177651200563,1.0,false,false,5,5000000
libcxx,double,0.75,0.25,QF,target_upper_tail_q,0.01,0.001,44856,44856,1.0,0.9999177651200563,1.0,false,false,5,5000000
libcxx,double,0.75,0.25,SPLIT,target_upper_tail_q,0.001,0.0001,4521,4521,1.0,0.9991843895365634,1.0,false,false,5,5000000
libcxx,double,0.75,0.25,LOG,target_upper_tail_q,0.001,0.0001,4521,4521,1.0,0.9991843895365634,1.0,false,false,5,5000000
libcxx,double,0.75,0.25,QF,target_upper_tail_q,0.001,0.0001,4521,4521,1.0,0.9991843895365634,1.0,false,false,5,5000000
libcxx,double,0.75,0.25,SPLIT,target_upper_tail_q,0.0001,1e-05,499,499,1.0,0.9926347136480117,1.0,false,false,5,5000000
libcxx,double,0.75,0.25,LOG,target_upper_tail_q,0.0001,1e-05,499,499,1.0,0.9926347136480117,1.0,false,false,5,5000000
libcxx,double,0.75,0.25,QF,target_upper_tail_q,0.0001,1e-05,499,499,1.0,0.9926347136480117,1.0,false,false,5,5000000
libcxx,double,0.75,0.25,SPLIT,target_upper_tail_q,1e-05,0.0,49,49,1.0,0.9274807363357226,1.0,false,false,5,5000000
libcxx,double,0.75,0.25,LOG,target_upper_tail_q,1e-05,0.0,49,49,1.0,0.9274807363357226,1.0,false,false,5,5000000
libcxx,double,0.75,0.25,QF,target_upper_tail_q,1e-05,0.0,49,49,1.0,0.9274807363357226,1.0,false,false,5,5000000
libcxx,double,0.75,0.25,SPLIT,log_radius,0.05626119891762985,-4.034541056348125,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.75,0.25,LOG,log_radius,0.05626119891762985,-4.034541056348125,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.75,0.25,SPLIT,log_radius,0.5040570675221435,0.05626119891762985,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.75,0.25,LOG,log_radius,0.5040570675221435,0.05626119891762985,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.75,0.25,SPLIT,log_radius,0.8726592793142767,0.5040570675221435,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.75,0.25,LOG,log_radius,0.8726592793142767,0.5040570675221435,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.75,0.25,SPLIT,log_radius,1.235505757578973,0.8726592793142767,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.75,0.25,LOG,log_radius,1.235505757578973,0.8726592793142767,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.75,0.25,SPLIT,log_radius,1.629137454519748,1.235505757578973,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.75,0.25,LOG,log_radius,1.629137454519748,1.235505757578973,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.75,0.25,SPLIT,log_radius,2.089832500567782,1.629137454519748,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.75,0.25,LOG,log_radius,2.089832500567782,1.629137454519748,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.75,0.25,SPLIT,log_radius,2.6731898517399766,2.089832500567782,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.75,0.25,LOG,log_radius,2.6731898517399766,2.089832500567782,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.75,0.25,SPLIT,log_radius,3.4898452566905926,2.6731898517399766,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.75,0.25,LOG,log_radius,3.4898452566905926,2.6731898517399766,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.75,0.25,SPLIT,log_radius,4.874810197832232,3.4898452566905926,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.75,0.25,LOG,log_radius,4.874810197832232,3.4898452566905926,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.75,0.25,SPLIT,log_radius,34.56425892391983,4.874810197832232,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.75,0.25,LOG,log_radius,34.56425892391983,4.874810197832232,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,float,0.55,0.050000011920928955,SPLIT,target_upper_tail_q,1.0,0.5,2499313,2499313,1.0,0.9999985240437145,1.0,false,false,5,5000000
libcxx,float,0.55,0.050000011920928955,LOG,target_upper_tail_q,1.0,0.5,2499313,2499313,1.0,0.9999985240437145,1.0,false,false,5,5000000
libcxx,float,0.55,0.050000011920928955,QF,target_upper_tail_q,1.0,0.5,2499313,2499313,1.0,0.9999985240437145,1.0,false,false,5,5000000
libcxx,float,0.55,0.050000011920928955,SPLIT,target_upper_tail_q,0.5,0.1,1999916,1999916,1.0,0.9999981554845043,1.0,false,false,5,5000000
libcxx,float,0.55,0.050000011920928955,LOG,target_upper_tail_q,0.5,0.1,1999916,1999916,1.0,0.9999981554845043,1.0,false,false,5,5000000
libcxx,float,0.55,0.050000011920928955,QF,target_upper_tail_q,0.5,0.1,1999916,1999916,1.0,0.9999981554845043,1.0,false,false,5,5000000
libcxx,float,0.55,0.050000011920928955,SPLIT,target_upper_tail_q,0.1,0.01,450840,450840,1.0,0.9999918177970843,1.0,false,false,5,5000000
libcxx,float,0.55,0.050000011920928955,LOG,target_upper_tail_q,0.1,0.01,450840,450840,1.0,0.9999918177970843,1.0,false,false,5,5000000
libcxx,float,0.55,0.050000011920928955,QF,target_upper_tail_q,0.1,0.01,450840,439871,0.9756698607044628,0.9752159439614871,0.9761176500871805,false,false,5,5000000
