tag,precision,kappa,shape_a,method,p,n_attempted,n_success,target_log_r_quantile,rho_attempt,rho_attempt_lo,rho_attempt_hi,rho_cond,rho_cond_lo,rho_cond_hi,conditional_log_r_quantile,conditional_log_r_quantile_lo,conditional_log_r_quantile_hi,conditional_log_r_quantile_error,quantile_resolved,unconditional_failure_probability,failure_ci_lo,failure_ci_hi,failure_is_upper_bound,bootstrap_resamples,interval_conf,n_seeds
libstdcxx,double,0.501,0.0010000000000000009,LOG,0.9999,5000000,3791426,4605.4768614057875,0.0,0.0,0.0,0.0,0.0,0.0,710.1579053176413,710.1393110735908,710.1744248404123,-3895.3189560881465,true,0.2417148,0.24133959073827654,0.24209030838994078,false,10000,0.99,5
libstdcxx,double,0.505,0.0050000000000000044,SPLIT,0.99,5000000,4878591,460.8229870221404,0.0,0.0,0.0,0.0,0.0,0.0,338.392211173365,338.05648828795455,338.7041048305293,-122.4307758487754,true,0.0242818,0.024147058804523287,0.02441709248649487,false,10000,0.99,5
libstdcxx,double,0.505,0.0050000000000000044,SPLIT,0.999,5000000,4878591,691.0814963215446,0.0,0.0,0.0,0.0,0.0,0.0,368.5661473576508,368.434718799897,368.69444088369715,-322.5153489638938,true,0.0242818,0.024147058804523287,0.02441709248649487,false,10000,0.99,5
libstdcxx,double,0.505,0.0050000000000000044,SPLIT,0.9999,5000000,4878591,921.3400056209603,0.0,0.0,0.0,0.0,0.0,0.0,372.247866359752,372.19338934073,372.31235395330316,-549.0921392612083,true,0.0242818,0.024147058804523287,0.02441709248649487,false,10000,0.99,5
libstdcxx,double,0.505,0.0050000000000000044,LOG,0.99,5000000,4995983,460.8229870221404,0.9252199999999993,0.9142994999999993,0.9364400999999991,0.9259639194128554,0.9151351195550496,0.9371731248885347,453.7310280757225,452.7104059721519,454.7593602743659,-7.09195894641789,true,0.0008034,0.0007787550656970521,0.0008286259469812543,false,10000,0.99,5
libstdcxx,double,0.505,0.0050000000000000044,LOG,0.999,5000000,4995983,691.0814963215446,0.16679999999999984,0.15239999999999987,0.18219999999999986,0.1669341148678847,0.15252253660590906,0.1823464971758309,631.4775323072001,629.5766563453508,633.1197581154942,-59.603964014344456,true,0.0008034,0.0007787550656970521,0.0008286259469812543,false,10000,0.99,5
libstdcxx,double,0.505,0.0050000000000000044,LOG,0.9999,5000000,4995983,921.3400056209603,0.0,0.0,0.0,0.0,0.0,0.0,698.5440857342544,697.2839817336464,699.9412177840222,-222.79591988670586,true,0.0008034,0.0007787550656970521,0.0008286259469812543,false,10000,0.99,5
libstdcxx,double,0.51,0.010000000000000009,SPLIT,0.99,5000000,4997186,230.56359981177187,0.948519999999999,0.9373999999999992,0.959880099999999,0.9490541276630479,0.937927865802873,0.9604206247275957,228.0710259224684,227.58091517122259,228.61914944567226,-2.4925738893034577,true,0.0005628,0.0005422015061069221,0.0005839803850879355,false,10000,0.99,5
libstdcxx,double,0.51,0.010000000000000009,SPLIT,0.999,5000000,4997186,345.692854461474,0.4061999999999997,0.38339999999999963,0.42899999999999966,0.40642873809379887,0.3836158990279726,0.4292415771596251,322.2369626275729,321.2579107363665,323.40902922252343,-23.45589183390109,true,0.0005628,0.0005422015061069221,0.0005839803850879355,false,10000,0.99,5
libstdcxx,double,0.51,0.010000000000000009,SPLIT,0.9999,5000000,4997186,460.82210911118176,0.0,0.0,0.0,0.0,0.0,0.0,364.2846197245506,363.4709960163234,365.0138303296994,-96.53748938663114,true,0.0005628,0.0005422015061069221,0.0005839803850879355,false,10000,0.99,5
libstdcxx,double,0.51,0.010000000000000009,LOG,0.99,5000000,4999995,230.56359981177187,1.004699999999999,0.9933991999999991,1.0157999999999991,1.0047010047010039,0.9934001934001926,1.015801015801015,230.7823471058257,230.25330506306523,231.30013355070267,0.2187472940538271,true,1e-06,3.246973551884662e-07,2.3336648596986128e-06,false,10000,0.99,5
